epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,236.438,2.00622,1.39827,1.23324,0.53681,0.62609,0.53564,0.20189,1.94821,1.50534,1.31138,0.0013466,0.0013466,0.0013466
35,243.133,1.94544,1.39642,1.22687,0.52794,0.66957,0.62154,0.24538,1.95543,1.48552,1.34329,0.0013268,0.0013268,0.0013268
36,249.744,1.99422,1.37142,1.23272,0.49261,0.62609,0.54161,0.20517,2.02242,1.46212,1.34435,0.001307,0.001307,0.001307
37,256.443,1.99322,1.38987,1.22896,0.51175,0.65217,0.58957,0.23813,2.03883,1.35497,1.34605,0.0012872,0.0012872,0.0012872
38,264.945,1.93538,1.3769,1.23381,0.61088,0.66891,0.62559,0.23693,1.97879,1.305,1.32504,0.0012674,0.0012674,0.0012674
39,271.735,1.98392,1.35993,1.24545,0.6155,0.72174,0.65853,0.2547,1.99282,1.3576,1.34762,0.0012476,0.0012476,0.0012476
40,278.394,1.8765,1.33774,1.18594,0.67509,0.52397,0.60729,0.24081,1.9526,1.53459,1.34253,0.0012278,0.0012278,0.0012278
41,285.017,2.01503,1.46072,1.2576,0.57996,0.48026,0.55594,0.21622,1.96569,1.69931,1.33225,0.001208,0.001208,0.001208
42,293.697,1.93063,1.37649,1.23227,0.55886,0.73913,0.64809,0.26844,1.87356,1.33976,1.28267,0.0011882,0.0011882,0.0011882
43,300.52,1.96194,1.30629,1.22453,0.63343,0.62609,0.64724,0.25386,1.99072,1.34051,1.33957,0.0011684,0.0011684,0.0011684
44,307.397,1.90467,1.32073,1.21481,0.6998,0.66957,0.65286,0.24493,2.0317,1.46563,1.36921,0.0011486,0.0011486,0.0011486
45,314.164,1.95294,1.32178,1.25494,0.66609,0.70435,0.66236,0.25639,1.91718,1.44924,1.32407,0.0011288,0.0011288,0.0011288
46,328.786,1.89842,1.27347,1.22675,0.63961,0.66362,0.65218,0.25732,1.90877,1.33642,1.32117,0.001109,0.001109,0.001109
47,335.439,1.93319,1.28898,1.21469,0.63877,0.58261,0.63437,0.24708,1.96453,1.48785,1.3404,0.0010892,0.0010892,0.0010892
48,342.082,1.91609,1.30971,1.22524,0.71414,0.66087,0.69187,0.27948,1.96835,1.50811,1.35032,0.0010694,0.0010694,0.0010694
49,348.674,1.85466,1.19418,1.16508,0.7132,0.64874,0.68537,0.27417,1.93258,1.33416,1.32579,0.0010496,0.0010496,0.0010496
50,355.17,1.97362,1.28499,1.22142,0.68434,0.71304,0.70259,0.28692,1.95409,1.25081,1.31055,0.0010298,0.0010298,0.0010298
51,361.822,1.83251,1.24913,1.18615,0.72311,0.64348,0.67791,0.26256,2.052,1.39425,1.38834,0.00101,0.00101,0.00101
52,370.206,1.85155,1.24456,1.16863,0.61902,0.67826,0.60866,0.24055,1.93621,1.41771,1.35639,0.0009902,0.0009902,0.0009902
53,376.92,1.83347,1.28172,1.17174,0.65223,0.63478,0.65824,0.25554,2.00325,1.38186,1.37512,0.0009704,0.0009704,0.0009704
54,383.776,1.81033,1.22654,1.15942,0.7342,0.62609,0.6764,0.2822,1.90507,1.40845,1.33119,0.0009506,0.0009506,0.0009506
55,390.498,1.81791,1.25952,1.16129,0.64863,0.68696,0.6535,0.27305,1.95099,1.35621,1.34666,0.0009308,0.0009308,0.0009308
